epsilon,qtable
"[0.5995678594975448, 0.8145062499999999, 1.0, 0.6991278900428628]","[0.16000000000000003,0.0,0.6003200000000002,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,1.8,-0.04000000000000001],[0.0,0.0,0.0,0.0,-0.07200000000000001,0.0],[0.0,0.0,0.7182848000000002,1.8,1.0,-0.07200000000000001],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0]"
"[0.5699094621536724, 0.8145062499999999, 1.0, 0.6991278900428628]","[0.41600000000000004,0.0,0.6003200000000002,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,1.4000000000000001,-0.04000000000000001],[0.0,0.0,0.0,0.0,-0.07200000000000001,0.0],[0.0,0.0,0.7182848000000002,1.8,1.0,-0.07200000000000001],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0]"
"[0.5416239078126082, 0.8145062499999999, 1.0, 0.6643519235575532]","[0.41600000000000004,0.0,0.7682560000000003,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,1.4000000000000001,-0.04000000000000001],[0.0,0.0,0.0,0.0,-0.07200000000000001,0.0],[0.0,0.0,0.8626278400000001,2.4400000000000004,1.0,-0.07200000000000001],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0]"
"[0.5145427124219777, 0.8145062499999999, 0.8573749999999999, 0.6643519235575532]","[0.41600000000000004,0.0,0.7682560000000003,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,1.4000000000000001,-0.04000000000000001],[0.0,0.0,0.0,0.0,-0.07200000000000001,-0.04000000000000001],[0.0,0.0,0.8626278400000001,2.4400000000000004,1.0,-0.07200000000000001],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0]"
"[0.4888155768008788, 0.8145062499999999, 0.7350918906249998, 0.6643519235575532]","[0.41600000000000004,0.0,0.7682560000000003,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,1.4000000000000001,-0.04000000000000001],[0.0,0.0,0.0,0.0,-0.07200000000000001,-0.07200000000000001],[0.0,0.0,0.8626278400000001,2.4400000000000004,1.0,-0.07200000000000001],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0]"
"[0.4643747979608348, 0.8145062499999999, 0.6302494097246091, 0.6643519235575532]","[0.41600000000000004,0.0,0.7682560000000003,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,1.4000000000000001,-0.04000000000000001],[0.0,0.0,0.0,0.0,-0.07200000000000001,-0.09760000000000002],[0.0,0.0,0.8626278400000001,2.4400000000000004,1.0,-0.07200000000000001],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0]"
"[0.4414519906071725, 0.8145062499999999, 0.6302494097246091, 0.6314066677263899]","[0.41600000000000004,0.0,1.0050048000000005,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,1.4000000000000001,-0.04000000000000001],[0.0,0.0,0.0,0.0,-0.07200000000000001,-0.09760000000000002],[0.0,0.0,1.0805022720000004,2.9520000000000004,1.0,-0.07200000000000001],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0]"
"[0.41971853467563724, 0.8145062499999999, 0.6302494097246091, 0.6001566043918252]","[0.41600000000000004,0.0,1.2763238400000005,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,1.4000000000000001,-0.04000000000000001],[0.0,0.0,0.0,0.0,-0.07200000000000001,-0.09760000000000002],[0.0,0.0,1.3367218176000004,2.9520000000000004,1.0,-0.09760000000000002],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0]"
"[0.39900392431883536, 0.8145062499999999, 0.6302494097246091, 0.5420897163895922]","[0.41600000000000004,0.0,1.4933790720000006,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,1.4000000000000001,-0.04000000000000001],[0.0,0.0,0.0,0.0,-0.07200000000000001,-0.09760000000000002],[0.0,0.0,1.7056779632640005,2.9520000000000004,0.76,-0.09760000000000002],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0]"
"[0.3792297273759937, 0.7740609345731032, 0.6302494097246091, 0.5420897163895922]","[0.5568000000000001,0.0,1.4933790720000006,0.0,0.0,0.0],[0.22400000000000003,0.0,0.0,0.0,2.12,-0.04000000000000001],[0.0,0.0,0.0,0.0,-0.07200000000000001,-0.09760000000000002],[0.0,0.0,1.7056779632640005,2.9520000000000004,0.76,-0.09760000000000002],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0]"
"[0.36048529487572195, 0.7740609345731032, 0.6302494097246091, 0.515149210491383]","[0.5568000000000001,0.0,1.6670232576000006,0.0,0.0,0.0],[0.22400000000000003,0.0,0.0,0.0,2.12,-0.04000000000000001],[0.0,0.0,0.0,0.0,-0.07200000000000001,-0.09760000000000002],[0.0,0.0,1.8368623706112006,3.3616000000000006,0.76,-0.09760000000000002],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0]"
"[0.34271659209200217, 0.7740609345731032, 0.6302494097246091, 0.4896048530837951]","[0.5568000000000001,0.0,1.8714746060800007,0.0,0.0,0.0],[0.22400000000000003,0.0,0.0,0.0,2.12,-0.04000000000000001],[0.0,0.0,0.0,0.0,-0.07200000000000001,-0.09760000000000002],[0.0,0.0,2.007345896488961,3.6892800000000006,0.76,-0.09760000000000002],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0]"
"[0.32585074721188156, 0.7740609345731032, 0.6302494097246091, 0.4653606282024962]","[0.5568000000000001,0.0,2.0874644848640007,0.0,0.0,0.0],[0.22400000000000003,0.0,0.0,0.0,2.12,-0.04000000000000001],[0.0,0.0,0.0,0.0,-0.07200000000000001,-0.09760000000000002],[0.0,0.0,2.196161517191169,2.9114240000000007,0.76,-0.09760000000000002],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0]"
"[0.30961862850066435, 0.7740609345731032, 0.6302494097246091, 0.44212584120817466]","[0.5568000000000001,0.0,2.1357994278912007,0.0,0.0,0.0],[0.22400000000000003,0.0,0.0,0.0,2.12,-0.04000000000000001],[0.0,0.0,0.0,0.0,-0.07200000000000001,-0.09760000000000002],[0.0,0.0,2.2227570537529355,2.2891392000000006,0.76,-0.09760000000000002],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0]"
"[0.2942138190337915, 0.7740609345731032, 0.6302494097246091, 0.4201174104462437]","[0.5568000000000001,0.0,2.0749018143129607,0.0,0.0,0.0],[0.22400000000000003,0.0,0.0,0.0,2.12,-0.04000000000000001],[0.0,0.0,0.0,0.0,-0.07200000000000001,-0.09760000000000002],[0.0,0.0,2.1444679150023487,2.831311360000001,0.76,-0.09760000000000002],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0]"
"[0.27955066488620084, 0.7740609345731032, 0.6302494097246091, 0.39914168521352833]","[0.5568000000000001,0.0,2.1129312690503688,0.0,0.0,0.0],[0.22400000000000003,0.0,0.0,0.0,2.12,-0.04000000000000001],[0.0,0.0,0.0,0.0,-0.07200000000000001,-0.09760000000000002],[0.0,0.0,2.1685841496018794,3.265049088000001,0.76,-0.09760000000000002],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0]"
"[0.26569790838320345, 0.7740609345731032, 0.6302494097246091, 0.3792954645513715]","[0.5568000000000001,0.0,2.2127528693202954,0.0,0.0,0.0],[0.22400000000000003,0.0,0.0,0.0,2.12,-0.04000000000000001],[0.0,0.0,0.0,0.0,-0.07200000000000001,-0.09760000000000002],[0.0,0.0,2.2572751737615038,2.572039270400001,0.76,-0.09760000000000002],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0]"
"[0.25245179331951706, 0.7740609345731032, 0.6302494097246091, 0.3603806022465855]","[0.5568000000000001,0.0,2.1817285787202367,0.0,0.0,0.0],[0.22400000000000003,0.0,0.0,0.0,2.12,-0.04000000000000001],[0.0,0.0,0.0,0.0,-0.07200000000000001,-0.09760000000000002],[0.0,0.0,2.217346422273203,2.572039270400001,0.5680000000000001,-0.09760000000000002],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0]"
